Price_Billion,Price_Per_m2,Area_m2,District,Ward,Bedrooms,Is_MatTien,Width_m,Floors,Is Hem,Post Time,Toilets,Post_Time
2.6,57.78,45,Nhà Bè,Nhà Bè,2,0,5.5,2,1,24/12/2025,1,12/24/2025
4.69,76.89,61,Quận 7,Phú Mỹ,3,0,4,2,1,24/12/2025,2,12/24/2025
6.6,132,50,Quận 9,Tăng Nhơn Phú A,4,0,4.5,3,1,24/12/2025,2,12/24/2025
6,113.21,53,Tân Phú,Hiệp Tân,4,0,4,3,1,24/12/2025,5,12/24/2025
5.9,131.11,45,Quận 8,13,3,0,3.6,2,1,24/12/2025,3,12/24/2025
6.5,69.15,94,Quận 9,Tăng Nhơn Phú A,3,0,4,3,1,24/12/2025,3,12/24/2025
6.35,90.71,70,Quận 12,Thạnh Lộc,3,0,4,3,1,24/12/2025,4,12/24/2025
3.6,105.88,34,Quận 12,Hiệp Thành,2,0,3.7,2,1,24/12/2025,2,12/24/2025
23.9,362.12,66,Quận 1,Tân Định,5,1,4.5,6,0,24/12/2025,5,12/24/2025
5.79,180.94,32,Bình Thạnh,2,1,0,4.5,2,1,24/12/2025,1,12/24/2025
6,115.38,52,Quận 9,Phú Hữu,4,0,4,3,1,24/12/2025,4,12/24/2025
6.85,131.73,52,Nhà Bè,Nhà Bè,4,0,5,4,1,24/12/2025,5,12/24/2025
7.2,120,60,Nhà Bè,Nhà Bè,4,0,4,3.5,1,24/12/2025,4,12/24/2025
16,36.36,440,Hóc Môn,Tân Xuân,1,1,11,1,0,24/12/2025,1,12/24/2025
8.6,71.67,120,Quận 12,Tân Chánh Hiệp,3,0,8,1,1,24/12/2025,2,12/24/2025
15.5,246.03,63,Quận 8,8,5,1,3.3,5,0,24/12/2025,7,12/24/2025
23,64.61,356,Quận 12,Hiệp Thành,28,1,10,1,0,24/12/2025,28,12/24/2025
6.97,90.52,77,Quận 8,3,3,0,3.56,1,1,24/12/2025,2,12/24/2025
6.97,90.52,77,Quận 8,3,3,0,3.56,1,1,24/12/2025,2,12/24/2025
8.6,56.95,151,Thủ Đức,Linh Chiểu,6,0,8.6,1,1,24/12/2025,6,12/24/2025
9.1,73.39,124,Quận 9,Tăng Nhơn Phú B,2,0,4.8,1,1,24/12/2025,2,12/24/2025
6.79,104.46,65,Gò Vấp,11,4,0,4.2,3,1,24/12/2025,3,12/24/2025
25,24.8,1008,Hóc Môn,Hóc Môn,3,0,28,1,1,24/12/2025,3,12/24/2025
2.75,57.29,48,Hóc Môn,Thới Tam Thôn,2,0,4,1,1,24/12/2025,1,12/24/2025
3.98,51.03,78,Nhà Bè,Nhà Bè,3,0,4,1,1,24/12/2025,2,12/24/2025
18.46,293.02,63,Quận 10,2,8,1,4.3,5,0,24/12/2025,5,12/24/2025
12.9,129,100,Gò Vấp,12,5,0,5,5,1,24/12/2025,6,12/24/2025
5.95,119,50,Tân Phú,Tân Quý,2,1,4,2,0,24/12/2025,1,12/24/2025
7.7,148.08,52,Quận 8,4,2,1,3.6,1,0,24/12/2025,2,12/24/2025
41,222.83,184,Gò Vấp,11,4,1,9,3,0,24/12/2025,4,12/24/2025
6.9,107.81,64,Bình Tân,Bình Hưng Hòa B,4,0,5,3,1,24/12/2025,3,12/24/2025
5.1,71.83,71,Quận 12,An Phú Đông,2,0,4,2,1,24/12/2025,3,12/24/2025
7.38,99.73,74,Quận 8,4,6,1,3.2,4.5,0,24/12/2025,7,12/24/2025
7.38,99.73,74,Quận 8,4,6,1,3.2,4.5,0,24/12/2025,7,12/24/2025
6.69,83.62,80,Quận 12,Hiệp Thành,5,1,4,4.5,0,24/12/2025,5,12/24/2025
21,176.47,119,Gò Vấp,5,4,1,6,4,0,24/12/2025,5,12/24/2025
155,173.18,895,Gò Vấp,3,2,1,20.4,2,0,24/12/2025,3,12/24/2025
8.88,104.47,85,Quận 8,2,13,0,3.3,4.5,1,24/12/2025,14,12/24/2025
22,77.19,285,Tân Bình,4,2,0,6.5,1,1,24/12/2025,3,12/24/2025
20,60.06,333,Quận 12,Tân Thới Nhất,3,0,14.5,2,1,24/12/2025,2,12/24/2025
3.8,52.05,73,Quận 9,Long Trường,1,0,5,1,1,24/12/2025,1,12/24/2025
3.35,88.16,38,Quận 12,Trung Mỹ Tây,2,0,2,2,1,24/12/2025,2,12/24/2025
6.8,53.97,126,Quận 12,Tân Chánh Hiệp,1,1,5.5,1,0,24/12/2025,1,12/24/2025
6.4,94.12,68,Quận 12,An Phú Đông,4,0,6,4,1,24/12/2025,4,12/24/2025
2.5,156.25,16,Quận 8,2,4,0,2.45,3,1,24/12/2025,2,12/24/2025
24,90.91,264,Gò Vấp,16,27,1,12,5,0,24/12/2025,27,12/24/2025
16,33.33,480,Hóc Môn,Tân Hiệp,1,1,15,2,0,24/12/2025,1,12/24/2025
13.2,56.41,234,Quận 12,Tân Chánh Hiệp,2,1,9,1,0,24/12/2025,2,12/24/2025
2.99,135.91,22,Bình Tân,Bình Hưng Hòa A,2,0,4.1,2.5,1,24/12/2025,2,12/24/2025
8.49,128.64,66,Gò Vấp,8,4,0,4,4.5,1,24/12/2025,3,12/24/2025
23,57.5,400,Quận 12,Hiệp Thành,20,1,9.9,1,0,24/12/2025,20,12/24/2025
2.26,80.71,28,Nhà Bè,Phú Xuân,4,0,3,3,1,24/12/2025,3,12/24/2025
9,85.71,105,Quận 2,Cát Lái,2,1,5,1,0,24/12/2025,1,12/24/2025
7.3,93.59,78,Quận 9,Phước Bình,4,0,4,3,1,24/12/2025,3,12/24/2025
7,69.31,101,Nhà Bè,Nhà Bè,4,0,5.8,3,1,24/12/2025,4,12/24/2025
84,84,1000,Quận 12,Hiệp Thành,1,1,20,1,0,24/12/2025,1,12/24/2025
7.9,106.76,74,Quận 7,Phú Mỹ,3,0,4.6,2.5,1,24/12/2025,3,12/24/2025
55,379.31,145,Quận 1,Nguyễn Thái Bình,5,1,8.2,3,0,24/12/2025,5,12/24/2025
8.868,37.42,237,Hóc Môn,Hóc Môn,11,1,8.66,3,0,24/12/2025,11,12/24/2025
4.65,66.43,70,Quận 12,Thạnh Xuân,4,0,4.5,3,1,24/12/2025,3,12/24/2025
6.38,127.6,50,Gò Vấp,12,3,0,4,3.5,1,24/12/2025,3,12/24/2025
5.19,96.11,54,Quận 9,Tăng Nhơn Phú A,3,0,4.2,2,1,24/12/2025,2,12/24/2025
6.6,61.68,107,Thủ Đức,Linh Trung,2,0,6.5,4,1,24/12/2025,1,12/24/2025
5.25,77.21,68,Quận 8,16,2,1,4,2,0,24/12/2025,3,12/24/2025
5.25,77.21,68,Quận 8,16,2,1,4,2,0,24/12/2025,3,12/24/2025
12.9,107.5,120,Quận 12,Thới An,5,1,5,4.5,0,24/12/2025,5,12/24/2025
7.9,65.83,120,Quận 12,Hiệp Thành,2,1,5,1,0,24/12/2025,2,12/24/2025
10.5,105,100,Quận 12,Hiệp Thành,2,1,5,1,0,24/12/2025,2,12/24/2025
7.05,71.94,98,Quận 9,Phước Long B,3,0,6,2,1,24/12/2025,2,12/24/2025
8.7,96.67,90,Thủ Đức,Hiệp Bình Chánh,3,0,5,3,1,24/12/2025,3,12/24/2025
9.3,155,60,Quận 8,4,3,1,3.6,5,0,24/12/2025,3,12/24/2025
5.5,34.38,160,Quận 3,12,7,0,4,4,1,24/12/2025,8,12/24/2025
6.5,185.71,35,Quận 3,4,2,0,5.1,2,1,24/12/2025,1,12/24/2025
4.95,61.88,80,Quận 3,9,3,0,4,2,1,24/12/2025,3,12/24/2025
13,481.48,27,Quận 3,1,3,1,3,5,0,24/12/2025,3,12/24/2025
6.4,88.89,72,Quận 7,Phú Mỹ,3,0,5.6,3,1,24/12/2025,4,12/24/2025
22.3,76.9,290,Bình Thạnh,13,7,0,6.6,2,1,24/12/2025,8,12/24/2025
4.48,101.82,44,Quận 12,Hiệp Thành,4,0,4,4,1,24/12/2025,3,12/24/2025
6.58,102.81,64,Quận 12,Tân Chánh Hiệp,4,1,4,4.5,0,24/12/2025,5,12/24/2025
5.35,162.12,33,Quận 8,1,2,0,8,2,1,24/12/2025,1,12/24/2025
8.4,158.49,53,Tân Phú,Hiệp Tân,4,0,4,3,1,24/12/2025,3,12/24/2025
4.7,97.92,48,Tân Phú,Phú Thạnh,3,0,4,2,1,24/12/2025,2,12/24/2025
65,288.89,225,Quận 7,Phú Mỹ,4,1,9,6,0,24/12/2025,3,12/24/2025
8.5,128.79,66,Quận 7,Tân Phú,3,0,4,3.5,1,24/12/2025,4,12/24/2025
6.9,67.78,101.8,Quận 9,Phước Long B,3,0,6,1,1,24/12/2025,2,12/24/2025
6.5,92.86,70,Thủ Đức,Linh Trung,3,0,6.5,3.5,1,24/12/2025,3,12/24/2025
14.8,74,200,Hóc Môn,Tân Xuân,5,1,10.2,3.5,0,24/12/2025,5,12/24/2025
13.5,33.75,400,Hóc Môn,Đông Thạnh,2,1,8,1,0,24/12/2025,2,12/24/2025
16.8,176.84,95,Tân Phú,Tân Sơn Nhì,5,1,5,5,0,24/12/2025,5,12/24/2025
11.2,58.64,191,Quận 3,10,4,1,3,4,0,24/12/2025,4,12/24/2025
13.5,129.81,104,Quận 6,11,7,1,4,6,0,24/12/2025,6,12/24/2025
6.9,60.53,114,Hóc Môn,Thới Tam Thôn,3,1,10,2,0,24/12/2025,3,12/24/2025
6.1,108.93,56,Bình Tân,An Lạc,2,1,4,2,0,24/12/2025,2,12/24/2025
15,227.27,66,Quận 1,Bến Thành,5,1,4,5,0,24/12/2025,5,12/24/2025
65,189.5,343,Tân Bình,13,4,1,2.12,3,0,24/12/2025,4,12/24/2025
6.9,71.88,96,Quận 9,Hiệp Phú,2,0,6,1,1,24/12/2025,2,12/24/2025
6.95,133.65,52,Quận 8,1,4,0,3,3.5,1,24/12/2025,4,12/24/2025
9.1,97.85,93,Quận 9,Hiệp Phú,4,0,5.7,2,1,24/12/2025,3,12/24/2025
6.65,82.1,81,Quận 12,Thạnh Lộc,3,0,5,5,1,24/12/2025,4,12/24/2025
14.9,196.05,76,Tân Bình,11,1,1,5,5,0,24/12/2025,1,12/24/2025
4.75,95,50,Tân Phú,Tân Quý,3,0,4,2,1,24/12/2025,3,12/24/2025
4.28,71.33,60,Quận 12,Thạnh Lộc,3,0,5,1,1,24/12/2025,3,12/24/2025
