Price_Billion,Price_Per_m2,Area_m2,District,Ward,Bedrooms,Is_MatTien,Width_m,Floors,Is Hem,Post Time,Toilets
20.0,333.33,60.0,quan-5,2,5,1,5.6,4.0,0,25/03/2024,5
2.035,59.85,34.0,quan-1,NCTrinh,3,0,2.0,1.0,1,09/04/2024,2
40.0,476.19,84.0,quan-3,05,6,0,4.0,1.0,1,05/11/2025,7
17.5,269.23,65.0,quan-4,12,5,1,4.0,1.0,0,11/09/2025,5
1.75,83.33,21.0,quan-4,02,2,0,3.0,1.0,1,13/04/2024,2
11.7,234.0,50.0,quan-10,5,4,1,3.5,1.0,0,11/09/2025,4
12.5,250.0,50.0,quan-10,6,4,1,3.5,1.0,0,11/09/2025,4
2.89,64.22,45.0,quan-5,7,2,0,4.0,1.0,1,05/05/2024,2
2.76,46.0,60.0,quan-5,2,2,0,4.0,1.0,1,05/05/2024,2
51.0,204.0,250.0,quan-1,Đakao,6,0,8.55,1.0,1,05/11/2025,6
11.7,238.78,49.0,quan-5,11,6,1,3.8,5.0,0,27/04/2024,5
70.0,364.58,192.0,quan-5,4,8,1,8.0,4.0,0,27/04/2024,9
2.105,35.08,60.0,quan-5,2,5,0,4.0,1.0,1,19/04/2024,5
11.3,144.87,78.0,quan-8,5,5,1,5.0,5.0,0,20/05/2024,5
17.5,109.38,160.0,quan-8,4,6,1,8.0,5.0,0,16/06/2024,6
22.0,207.55,106.0,quan-10,8,5,1,8.2,1.0,0,11/09/2025,5
52.0,481.48,108.0,quan-5,3,6,0,6.0,7.0,1,20/07/2024,8
86.0,472.53,182.0,quan-5,3,5,0,10.0,5.0,1,09/05/2024,5
11.3,188.33,60.0,quan-5,2,4,0,4.0,1.0,1,14/08/2024,4
13.0,260.0,50.0,quan-1,phạm ngũ lão,6,0,3.8,1.0,1,18/05/2024,6
18.0,219.51,82.0,quan-6,10,4,1,26.0,1.0,0,05/10/2024,5
11.0,152.78,72.0,quan-5,2,6,0,11.0,1.0,1,02/06/2024,3
25.0,297.62,84.0,quan-5,10,4,1,4.2,3.0,0,08/05/2024,2
12.0,125.0,96.0,quan-1,cầu kho,4,0,4.2,1.0,1,01/06/2024,4
13.0,232.14,56.0,quan-1,phạm ngũ lão,4,0,3.8,1.0,1,01/06/2024,4
15.0,272.73,55.0,quan-5,10,4,1,4.2,3.0,0,04/05/2024,3
22.5,267.86,84.0,quan-1,Cầu Kho,4,0,6.0,1.0,1,01/06/2024,4
26.0,147.73,176.0,quan-5,1,4,0,10.0,1.0,1,04/05/2024,4
13.0,361.11,36.0,quan-5,2,5,1,3.5,5.0,0,09/05/2024,5
24.0,300.0,80.0,quan-5,11,6,1,4.0,5.0,0,10/05/2024,6
39.0,406.25,96.0,quan-3,12,4,1,6.0,1.0,0,11/09/2025,4
17.5,208.33,84.0,quan-5,4,4,1,4.0,4.0,0,08/06/2024,5
11.9,198.33,60.0,quan-5,2,4,0,4.0,1.0,1,14/05/2024,4
105.0,875.0,120.0,quan-3,6,8,1,13.8,1.0,0,Hôm qua,8
350.0,544.32,643.0,quan-3,Võ Thị Sáu,6,1,16.0,1.0,0,Hôm qua,6
159.0,397.5,400.0,quan-1,Bến Thành,3,1,10.0,1.0,0,Hôm qua,3
90.0,1125.0,80.0,quan-1,Bến Nghé,5,1,6.0,5.0,0,Hôm qua,5
12.5,347.22,36.0,quan-5,7,2,1,4.5,3.0,0,22/06/2024,2
29.9,415.28,72.0,quan-1,Đa Kao,3,0,4.0,1.0,1,Hôm qua,2
12.5,260.42,48.0,quan-6,12,5,0,4.0,5.0,1,17/12/2024,5
19.9,276.39,72.0,quan-6,11,6,1,4.0,6.0,0,12/06/2025,7
12.5,62.5,200.0,quan-6,13,4,0,10.0,2.0,1,17/12/2024,4
16.5,171.88,96.0,quan-2,Thảo Điền,7,0,8.0,4.0,1,05/04/2025,3
21.0,218.75,96.0,quan-6,11,2,1,4.0,1.0,0,12/06/2025,2
6.75,76.7,88.0,quan-2,Thủ Đức,3,0,5.0,2.0,1,12/06/2024,3
24.0,169.01,142.0,quan-2,An Phú,3,1,8.5,1.0,0,05/04/2025,3
35.0,233.33,150.0,quan-1,Nguyễn Cư Trinh,5,0,6.0,1.0,1,03/08/2024,2
13.0,78.79,165.0,quan-2,An Khánh,9,0,5.5,1.0,1,31/07/2024,9
18.0,163.64,110.0,quan-2,Bình An,5,1,20.0,3.0,0,05/04/2025,3
6.1,138.64,44.0,quan-4,16,4,0,3.7,5.0,1,18/07/2024,4
8.0,137.93,58.0,quan-4,14,9,0,6.7,4.0,1,18/07/2024,9
14.0,218.75,64.0,quan-6,10,4,0,4.0,5.0,1,17/12/2024,4
35.0,230.26,152.0,quan-3,Võ Thị Sáu,10,1,5.0,5.0,0,Hôm qua,10
280.0,811.59,345.0,quan-3,Võ Thị Sáu,9,0,15.0,1.0,1,Hôm qua,9
39.0,325.0,120.0,quan-3,Võ Thị Sáu,6,0,11.0,3.0,1,Hôm qua,6
38.0,457.83,83.0,quan-1,NCT,2,1,5.0,1.0,0,11/09/2025,2
39.0,609.38,64.0,quan-1,NTB,2,0,2.0,1.0,1,05/11/2025,2
14.0,71.79,195.0,quan-6,9,8,1,7.5,1.0,0,27/08/2025,8
12.0,111.11,108.0,quan-4,02,5,0,6.6,1.0,1,03/12/2024,3
19.5,433.33,45.0,quan-5,6,7,1,4.3,7.0,0,09/07/2024,9
39.9,266.0,150.0,quan-1,Nguyễn Cư Trinh,5,0,10.0,1.0,1,10/07/2024,5
6.0,171.43,35.0,quan-4,4,2,1,16.0,3.0,0,03/12/2024,3
36.5,304.17,120.0,quan-1,Nguyễn Cư Trinh,15,0,8.0,1.0,1,15/07/2024,16
56.0,533.33,105.0,quan-5,3,6,1,5.0,1.0,0,16/07/2024,7
28.0,233.33,120.0,quan-5,3,6,0,7.0,1.0,1,17/07/2024,7
5.6,116.67,48.0,quan-3,11,3,0,11.0,2.0,1,10/08/2024,2
7.0,137.25,51.0,quan-8,11,3,1,3.0,3.0,0,09/08/2024,3
7.5,91.46,82.0,quan-2,Bình Trưng Tây,3,1,5.0,1.0,0,10/01/2025,2
53.0,135.9,390.0,quan-2,Thảo Điền,0,0,15.0,1.0,1,Hôm qua,0
52.0,192.59,270.0,quan-1,Nguyễn Cư Trinh,0,0,9.0,1.0,1,Hôm qua,0
150.0,333.33,450.0,quan-3,6,0,0,20.0,1.0,1,Hôm qua,0
38.9,486.25,80.0,quan-5,3,0,1,4.0,4.0,0,24/08/2024,0
12.0,73.17,164.0,quan-2,Bình Trưng Đông,0,1,2.0,1.0,0,10/01/2025,0
10.5,262.5,40.0,quan-3,4,0,0,4.0,5.0,1,30/08/2024,0
120.0,705.88,170.0,quan-1,Bến Thành,35,1,8.0,1.0,0,Hôm qua,35
140.0,482.76,290.0,quan-3,8,0,0,12.0,1.0,1,Hôm qua,0
38.0,206.52,184.0,quan-2,Thạnh Mỹ Lợi,8,1,8.0,1.0,0,08/06/2025,8
10.7,159.7,67.0,quan-3,14,5,0,7.5,1.0,1,17/09/2024,5
40.0,547.95,73.0,quan-5,2,9,1,7.0,4.0,0,16/10/2024,10
42.0,168.0,250.0,quan-1,cô giang,5,0,12.0,1.0,1,16/10/2024,6
22.0,174.6,126.0,quan-7,Tân Phong,5,0,7.0,1.0,1,07/12/2024,5
25.0,204.92,122.0,quan-10,15,3,1,4.6,1.0,0,Hôm qua,2
15.0,150.0,100.0,quan-7,Tân Hưng,4,0,5.0,4.0,1,07/12/2024,5
350.0,447.85,781.5200000000041,quan-3,6,3,1,18.0,1.0,0,Hôm qua,3
24.0,260.87,92.0,quan-10,15,3,1,4.1,1.0,0,Hôm qua,2
25.0,200.0,125.0,quan-10,15,3,0,4.2,1.0,1,Hôm qua,2
17.0,163.46,104.0,quan-6,11,5,1,4.0,1.0,0,05/10/2024,5
24.0,255.32,94.0,quan-10,15,3,0,4.1,1.0,1,Hôm qua,2
23.9,254.26,94.0,quan-10,15,3,0,4.1,1.0,1,Hôm qua,2
8.05,161.0,50.0,quan-2,Bình Trưng Tây,4,0,5.0,1.0,1,10/01/2025,3
18.8,154.1,122.0,quan-6,9,4,1,4.5,3.0,0,05/10/2024,5
6.9,164.29,42.0,quan-3,13,1,0,3.2,3.0,1,08/12/2024,3
12.0,166.67,72.0,quan-7,Tân Phong,5,0,4.0,4.0,1,07/12/2024,6
68.0,357.89,190.0,quan-10,15,6,0,8.0,4.0,1,25/11/2024,6
72.0,450.0,160.0,quan-5,3,6,1,8.0,1.0,0,25/11/2024,8
100.0,409.84,244.0,quan-5,3,5,1,8.5,1.0,0,25/11/2024,5
28.5,356.25,80.0,quan-10,12,6,1,4.0,5.0,0,25/11/2024,6
81.0,445.05,182.0,quan-5,9,10,1,8.3,1.0,0,25/11/2024,10
22.8,237.5,96.0,quan-10,15,5,0,15.0,2.0,1,25/11/2024,5
32.0,220.69,145.0,quan-10,15,3,0,5.4,1.0,1,25/11/2024,3
86.0,256.72,335.0,quan-1,Tân Định,8,0,19.0,1.0,1,25/11/2024,8
12.3,111.82,110.0,quan-3,11,5,0,7.0,1.0,1,25/11/2024,5
40.5,253.12,160.0,quan-3,14,5,0,8.0,1.0,1,25/11/2024,5
6.5,53.72,121.0,quan-9,Phú Hữu,1,0,5.0,1.0,1,26/11/2024,1
48.0,444.44,108.0,quan-5,1,8,1,6.0,6.0,0,25/11/2024,8
48.0,558.14,86.0,quan-10,12,6,0,4.8,4.0,1,29/11/2024,6
23.0,230.0,100.0,quan-5,3,4,0,5.0,3.0,1,29/11/2024,4
46.0,283.95,162.0,quan-6,11,10,0,23.0,1.0,1,23/11/2024,10
23.0,287.5,80.0,quan-10,12,10,1,5.0,1.0,0,29/11/2024,11
41.0,225.27,182.0,quan-10,11,8,1,4.2,1.0,0,29/11/2024,8
23.5,326.39,72.0,quan-10,14,2,1,4.0,1.0,0,29/11/2024,2
56.0,459.02,122.0,quan-10,14,10,1,5.7,7.0,0,29/11/2024,10
6.4,103.23,62.0,quan-8,16,5,1,10.0,3.0,0,27/08/2025,3
48.0,505.26,95.0,quan-10,12,5,0,4.5,4.0,1,25/11/2024,5
43.0,273.89,157.0,quan-3,13,5,0,9.0,4.0,1,29/11/2024,6
48.0,444.44,108.0,quan-5,1,6,1,6.0,6.0,0,29/11/2024,8
29.0,145.0,200.0,quan-5,2,2,0,10.0,1.0,1,29/11/2024,3
59.0,304.12,194.0,quan-10,4,5,1,4.5,5.0,0,29/11/2024,6
32.0,228.57,140.0,quan-10,15,2,0,5.4,1.0,1,29/11/2024,2
25.0,333.33,75.0,quan-10,4,8,1,5.5,1.0,0,29/11/2024,8
185.0,840.91,220.0,quan-5,3,10,1,10.0,1.0,0,29/11/2024,10
13.5,232.76,58.0,quan-1,Tân Định,1,0,4.0,1.0,1,04/11/2024,2
37.0,268.12,138.0,quan-10,14,5,0,4.1,4.0,1,29/11/2024,5
37.0,411.11,90.0,quan-10,12,10,0,4.5,4.0,1,25/11/2024,10
35.0,486.11,72.0,quan-10,12,10,1,4.5,1.0,0,29/11/2024,10
14.0,218.75,64.0,quan-10,15,9,0,4.0,5.0,1,29/11/2024,10
69.9,554.76,126.0,quan-5,12,6,1,7.0,5.0,0,29/11/2024,6
47.0,261.11,180.0,quan-10,13,15,0,9.0,6.0,1,29/11/2024,15
25.0,304.88,82.0,quan-10,4,7,1,5.5,1.0,0,29/11/2024,7
