Price_Billion,Area_m2,District,Ward,Floors,Bedrooms,Toilets,Post_Time
12,89,Quận Gò Vấp,Phường 7,4,0,0,31/12/2025
7.8,70,Quận Bình Tân,Phường Bình Hưng Hòa A,2,0,0,31/12/2025
5.4,54,Quận Bình Tân,Phường Bình Trị Đông A,2,0,0,31/12/2025
5.8,58,Quận Tân Phú,Phường Tân Sơn Nhì,5,0,0,31/12/2025
4.7,35,Quận Bình Tân,Phường Bình Hưng Hòa A,3,4,0,31/12/2025
4.2,32,Quận Tân Phú,Phường Tân Quý,2,0,0,31/12/2025
8.2,50,Quận Bình Tân,Phường Bình Hưng Hòa,4,0,0,31/12/2025
6.9,60,Quận Tân Phú,Phường Tây Thạnh,4,0,0,31/12/2025
4.98,56,Quận Bình Tân,Phường Bình Hưng Hòa B,2,0,0,31/12/2025
5.6,68,Quận Tân Phú,Phường Tây Thạnh,3,0,0,31/12/2025
4.95,46,Quận Bình Tân,Phường Bình Hưng Hòa B,2,0,0,31/12/2025
5.9,83,Quận Bình Tân,Phường Bình Hưng Hòa,6,0,0,31/12/2025
3.2,38,Quận Bình Tân,Phường An Lạc,3,2,2,31/12/2025
56,240,Thành phố Thủ Đức,Phường An Phú,1,0,0,31/12/2025
15.3,91,Quận 7,Phường Tân Thuận Tây,3,5,4,31/12/2025
15.9,157,Quận 7,Phường Bình Thuận,3,0,0,31/12/2025
3.3,76,Huyện Nhà Bè,Xã Nhơn Đức,1,2,0,31/12/2025
22,542,Huyện Nhà Bè,Xã Phú Xuân,5,0,0,31/12/2025
12.2,82,Quận Gò Vấp,Phường 16,4,0,0,31/12/2025
6.3,45,Quận Gò Vấp,Phường 11,6,4,3,31/12/2025
4.2,35,Quận Gò Vấp,Phường 7,2,5,0,31/12/2025
6.68,43,Quận Gò Vấp,Phường 5,2,5,0,31/12/2025
7.5,78,Quận Gò Vấp,Phường 17,5,3,2,31/12/2025
6.7,36,Quận Gò Vấp,Phường 1,3,2,0,31/12/2025
6.35,44,Quận Gò Vấp,Phường 8,1,3,3,31/12/2025
8.6,100,Quận Gò Vấp,Phường 11,3,8,0,31/12/2025
8.95,82,Quận Gò Vấp,Phường 8,2,4,0,31/12/2025
7.65,52,Quận Gò Vấp,Phường 12,5,3,0,31/12/2025
12.7,78,Quận Gò Vấp,Phường 5,5,14,15,31/12/2025
6,52,Quận Gò Vấp,Phường 10,2,7,0,31/12/2025
7.4,64,Quận Gò Vấp,Phường 5,1,0,0,31/12/2025
6.75,90,Quận Gò Vấp,Phường 17,6,4,0,31/12/2025
9.85,92,Quận Gò Vấp,Phường 6,3,5,6,31/12/2025
5.35,50,Quận Gò Vấp,Phường 15,3,3,3,31/12/2025
7.75,104,Quận Gò Vấp,Phường 4,1,0,0,31/12/2025
7.45,78,Quận Gò Vấp,Phường 17,4,3,0,31/12/2025
7.45,50,Quận Gò Vấp,Phường 5,3,0,0,31/12/2025
13,120,Quận Gò Vấp,Phường 3,5,0,0,31/12/2025
8.4,52,Quận Gò Vấp,Phường 6,3,4,5,31/12/2025
6.8,60,Quận Gò Vấp,Phường 1,4,5,0,31/12/2025
8.6,100,Quận Gò Vấp,Phường 10,3,6,0,31/12/2025
7.95,89,Quận Gò Vấp,Phường 11,4,4,0,31/12/2025
6.9,74,Quận Gò Vấp,Phường 7,1,0,0,31/12/2025
5.96,42,Quận Gò Vấp,Phường 12,3,0,0,31/12/2025
9.2,72,Quận Gò Vấp,Phường 5,2,0,0,31/12/2025
6.65,60,Quận Gò Vấp,Phường 17,2,0,0,31/12/2025
6.95,65,Quận Gò Vấp,Phường 8,4,4,0,31/12/2025
6.65,44,Quận Gò Vấp,Phường 5,1,5,0,31/12/2025
6.85,50,Quận Gò Vấp,Phường 11,4,3,3,31/12/2025
8.2,68,Quận Gò Vấp,Phường 8,3,4,0,31/12/2025
8.85,72,Quận Gò Vấp,Phường 6,4,4,5,31/12/2025
12.45,125,Quận Gò Vấp,Phường 3,2,0,0,31/12/2025
9.45,80,Quận Gò Vấp,Phường 3,7,0,0,31/12/2025
4.98,40,Quận Gò Vấp,Phường 12,4,4,0,31/12/2025
9.2,78,Quận Gò Vấp,Phường 11,2,0,0,31/12/2025
6.85,76,Quận Gò Vấp,Phường 8,1,4,5,31/12/2025
8.98,84,Quận Gò Vấp,Phường 12,2,4,5,31/12/2025
7.55,76,Quận Gò Vấp,Phường 11,2,4,0,31/12/2025
5.65,44,Quận Gò Vấp,Phường 10,1,0,0,31/12/2025
6.4,52,Quận Gò Vấp,Phường 3,1,2,2,31/12/2025
5.4,48,Quận Gò Vấp,Phường 5,1,3,0,31/12/2025
6.15,44,Quận Gò Vấp,Phường 16,2,0,0,31/12/2025
8.8,76,Quận Gò Vấp,Phường 11,1,6,0,31/12/2025
13.85,114,Quận Gò Vấp,Phường 3,1,0,0,31/12/2025
8.2,90,Quận Gò Vấp,Phường 11,1,4,0,31/12/2025
6.7,50,Quận Gò Vấp,Phường 12,1,4,4,31/12/2025
19.3,90,Quận Gò Vấp,Phường 7,3,0,0,31/12/2025
6.3,60,Quận Gò Vấp,Phường 11,2,5,0,31/12/2025
6.8,64,Quận Gò Vấp,Phường 11,2,4,0,31/12/2025
8.099,76,Quận Gò Vấp,Phường 12,2,0,0,31/12/2025
5.9,48,Quận Gò Vấp,Phường 16,1,4,0,31/12/2025
5.6,50,Quận Gò Vấp,Phường 16,1,4,3,31/12/2025
9.95,66,Quận Phú Nhuận,Phường 5,5,6,0,31/12/2025
5.88,44,Quận Gò Vấp,Phường 17,4,2,3,31/12/2025
8.5,75,Quận Gò Vấp,Phường 16,3,6,0,31/12/2025
8.6,122,Quận Gò Vấp,Phường 12,5,5,0,31/12/2025
6.3,54,Quận Gò Vấp,Phường 5,2,7,4,31/12/2025
6.58,45,Quận Gò Vấp,Phường 3,1,0,0,31/12/2025
6.6,54,Quận Gò Vấp,Phường 3,3,0,0,31/12/2025
9.45,100,Quận Gò Vấp,Phường 11,2,12,0,31/12/2025
5.4,48,Quận Gò Vấp,Phường 1,5,3,2,31/12/2025
9.65,94,Quận Gò Vấp,Phường 4,2,11,0,31/12/2025
10,75,Quận Gò Vấp,Phường 6,3,7,0,31/12/2025
5.85,48,Quận Gò Vấp,Phường 16,1,4,3,31/12/2025
8.2,76,Quận Gò Vấp,Phường 12,3,0,0,31/12/2025
9.5,60,Quận Bình Thạnh,Phường 11,2,7,7,31/12/2025
5,40,Quận Gò Vấp,Phường 10,1,2,2,31/12/2025
5.78,61,Quận Gò Vấp,Phường 10,1,4,5,31/12/2025
9.9,80,Quận Gò Vấp,Phường 3,2,0,0,31/12/2025
7.05,55,Thành phố Thủ Đức,Phường Hiệp Bình Phước,2,4,0,31/12/2025
5.3,70,Quận Gò Vấp,Phường 3,2,5,0,31/12/2025
9.2,54,Quận Gò Vấp,Phường 6,3,0,0,31/12/2025
8.4,90,Quận Gò Vấp,Phường 11,3,0,0,31/12/2025
9.5,61,Thành phố Thủ Đức,Phường Hiệp Bình Phước,4,4,4,31/12/2025
7.3,60,Quận Gò Vấp,Phường 8,5,4,4,31/12/2025
11.5,101,Thành phố Thủ Đức,Phường Hiệp Bình Chánh,2,0,0,31/12/2025
7.3,75,Quận Gò Vấp,Phường 3,2,4,3,31/12/2025
8.7,96,Quận Gò Vấp,Phường 8,4,8,0,31/12/2025
7.8,88,Thành phố Thủ Đức,Phường Linh Xuân,1,3,4,31/12/2025
